,Date file created,Month of intercept,Time of intercept,Data sampling period,Sub region of trip,Kind of day,Fish target species,Type of gear,Mode of fishing,Mode of fishing collapsed,Collapsed area of fishing,Distance from shore,Hours on boat,Hours fished,Catch fish,Number of fish avail for inspection
1192,2020-03-16,2,1447,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,BLACK DRUM,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.5,Yes,2
1206,2020-03-16,2,1422,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,1.5,No,0
1210,2020-03-16,2,1224,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,3.0,Yes,8
1211,2020-03-16,2,1236,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.0,Yes,5
1212,2020-03-16,2,1251,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,6.0,Yes,8
1216,2020-03-16,2,1451,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.5,Yes,1
1220,2020-03-16,2,1530,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,4.0,Yes,4
1222,2020-03-16,2,1552,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.0,Yes,5
1223,2020-03-16,2,1530,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,2.0,2.0,Yes,1
277,2018-05-18,4,1428,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,8.0,7.5,Yes,1
279,2018-05-18,4,1447,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.5,Yes,1
280,2018-05-18,4,1452,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.5,Yes,1
281,2018-05-18,4,1455,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.5,Yes,1
296,2018-05-18,4,1447,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,8.0,7.5,Yes,1
299,2018-05-18,4,1514,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.5,Yes,1
361,2019-05-17,4,1343,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,7.0,6.5,Yes,1
363,2019-05-17,4,1343,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,7.0,6.5,Yes,1
433,2019-05-17,4,1424,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.5,5.0,Yes,1
434,2019-05-17,4,1429,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.5,5.0,Yes,1
440,2019-05-17,4,1104,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.5,Yes,1
441,2019-05-17,4,1105,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.5,Yes,1
457,2019-05-17,4,1502,March/April,North Atlantic (ME; NH; MA; RI; CT),Weekend,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,7.0,6.5,Yes,1
